line #,episode #,episode,name,line,arc #,arc
41.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MARISHA,"It's 826LA, you should look it up. There's a few all over the country. →",A1,Arc 1: Kraghammer and Vasselheim
42.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Yes. Also, as a heads up because I saw some of you guys ask me in the chatroom: These videos will be available on the Geek & Sundry YouTube Channel soon enough, as well as a more extensive backstory of the party. We'll have all that content ready for you so you don't have to memorize it. Maybe a bio page, I don't know. We'll figure something out. It'll be fine. Anyway, let's open that up. You know who I am. Matthew Mercer, voice actor and I've been running this game for two years. I'm a hardcore nerd. Let's go around the table and introduce our players so you can attach the faces to the intros you just saw. Let's start on this side with Travis. →",A1,Arc 1: Kraghammer and Vasselheim
43.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TRAVIS,"Oh! Hi. I'm Travis Willingham, voice actor, gamer. I play Grog the goliath barbarian. →",A1,Arc 1: Kraghammer and Vasselheim
44.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,"Hi. I'm Laura Bailey. I'm also, you know, a voice actor like everyone here. →",A1,Arc 1: Kraghammer and Vasselheim
45.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TRAVIS,Yeah. I think we all are. →,A1,Arc 1: Kraghammer and Vasselheim
46.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,I'm playing Vex'ahlia. The coolest chick ever. →,A1,Arc 1: Kraghammer and Vasselheim
47.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,The ranger with the bear. →,A1,Arc 1: Kraghammer and Vasselheim
48.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LAURA,"The ranger with the bear named Trinket, in case you didn't catch that. His name is Trinket and he's amazing. →",A1,Arc 1: Kraghammer and Vasselheim
49.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LIAM,"Hi, I'm Liam O'Brien. I'm playing Vax'ildan. →",A1,Arc 1: Kraghammer and Vasselheim
50.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,LIAM,This one's twin. We're half-elven twins. I started playing D&D when I was 13 and I can't believe this is happening. So cheers. Cheers to this. →,A1,Arc 1: Kraghammer and Vasselheim
51.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TALIESIN,"My name is Taliesin Jaffe. I'm a voice actor, director, and I've been playing some form of Dungeons & Dragons, and if you can't tell by my black clothing, a lot of Vampire the Masquerade when I was a teenager. →",A1,Arc 1: Kraghammer and Vasselheim
52.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TALIESIN,"There was a problem. I'm playing Percy, the Gunslinger. I'm the reason all the rules are all messed up. →",A1,Arc 1: Kraghammer and Vasselheim
53.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MARISHA,"I am Keyleth, the druid from the tribe of the Air Ashari. I am a half-elven person. →",A1,Arc 1: Kraghammer and Vasselheim
54.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"No, you're elven. →",A1,Arc 1: Kraghammer and Vasselheim
55.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MARISHA,"No, half-elf. →",A1,Arc 1: Kraghammer and Vasselheim
56.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,Half-elf. Okay. →,A1,Arc 1: Kraghammer and Vasselheim
57.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MARISHA,"Yeah, Come on, man. I've been half-elf since day one. Half-elven. Yes! You can see me shooting lightning and turning into awesome animals. →",A1,Arc 1: Kraghammer and Vasselheim
58.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,Orion. →,A1,Arc 1: Kraghammer and Vasselheim
59.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,Hi. →,A1,Arc 1: Kraghammer and Vasselheim
60.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,"Hey, everybody. I'm Orion Acaba and I'm also a voice actor. I do things. →",A1,Arc 1: Kraghammer and Vasselheim
61.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MARISHA,"Oh, I'm Marisha Ray, by the way. →",A1,Arc 1: Kraghammer and Vasselheim
62.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,Yeah! →,A1,Arc 1: Kraghammer and Vasselheim
63.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MARISHA,Did I say that? →,A1,Arc 1: Kraghammer and Vasselheim
64.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,Keyleth is Marisha Ray. →,A1,Arc 1: Kraghammer and Vasselheim
65.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,Let Orion have his moment. Don't try and break-- →,A1,Arc 1: Kraghammer and Vasselheim
66.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,"No, it's our moment. →",A1,Arc 1: Kraghammer and Vasselheim
67.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,There you go. All right. →,A1,Arc 1: Kraghammer and Vasselheim
68.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,I'm Tiberius the awesome sorcerer. →,A1,Arc 1: Kraghammer and Vasselheim
69.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,Dragonborn sorcerer. →,A1,Arc 1: Kraghammer and Vasselheim
70.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,ORION,"Dragonborn, yeah! That's right. →",A1,Arc 1: Kraghammer and Vasselheim
71.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,SAM,"I'm Sam Riegel: a voice actor, and stuff. My character is Scanlan Shorthalt. The gnome bard who sings a lot. Let's start playing, yeah? (cheering) →",A1,Arc 1: Kraghammer and Vasselheim
72.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"All right! Let's jump on in. Thank you. Last we left off, to give you a little backstory. The party had completed a large venture in saving the nearby city of Emon. One of the central capitals of this human civilization of Tal'Dorei. They managed to halt a demonic insurrection within the throne and as such were greeted to a hero's celebration and had a keep built in their honor. →",A1,Arc 1: Kraghammer and Vasselheim
73.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Over the six month period of the keep being constructed, they went their own ways and then returned to see its final creation. However, they did not have a chance to really enjoy it immediately as one of their good friends and allies, Arcanist Allura Vysoren of the Tal'Dorei council came to them requesting their aid saying that a long time friend of hers, Lady Kima of Vord, who is a very well known and very well respected halfling paladin of Bahamut, the Platinum Dragon, had been gone on a pilgrimage for a while, essentially a vision quest that is part of her own development as a paladin. As part of this, she let the information go to Allura that a dark vision had come to her saying that some sort of evil root is beginning to breed beneath Kraghammer and the mountains within Kraghammer, which is the nearby dwarven civilization that you guys have previously not been allowed entry to because the dwarves weren't fans of nobody without any political means of entry. However, she managed to acquire the necessary documentation and offered you a very substantial reward should you find the whereabouts of Lady Kima of Vord and hopefully bring her back safely. You left on the pathway to the dwarven citadel of Kraghammer. You were ambushed by a group of roaming barbarian goliaths. →",A1,Arc 1: Kraghammer and Vasselheim
74.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Part way through the battle, Grog managed to recognize one of them as a previous ally and no longer an ally at this time. →",A1,Arc 1: Kraghammer and Vasselheim
75.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TRAVIS,Son of a bitch. →,A1,Arc 1: Kraghammer and Vasselheim
76.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,MATT,"Yep, the barbarian for his first and only time so far managed to avert battle through a social encounter and rolled pretty damn well on a persuasion check. So you got one. You get one. You got your one. Never again. →",A1,Arc 1: Kraghammer and Vasselheim
77.0,E1, Campaign 1 Episode 1 Arrival at Kraghammer ,TRAVIS,Next time he dies. →,A1,Arc 1: Kraghammer and Vasselheim
